timestamp,type,message
"2026-04-06T07:48:22.948Z","session","--- manual_invoke.js session started ---"
"2026-04-06T07:48:22.950Z","output","==================================================="
"2026-04-06T07:48:22.950Z","output","   OPENFAAS AI PROACTIVE MONITORING SYSTEM       "
"2026-04-06T07:48:22.950Z","output","==================================================="
"2026-04-06T07:48:22.950Z","output","
[Active Session: User ID 1]"
"2026-04-06T07:48:38.865Z","input","Enter function name (or ""exit""): login1"
"2026-04-06T07:48:50.318Z","input","Enter payload JSON (Press Enter for default): {""email"":""user@example.com"",""password"":""secret123""}"
"2026-04-06T07:48:50.319Z","output","Authenticating via OpenFaaS..."
"2026-04-06T07:48:50.351Z","output","Logged metrics for login1 → {""statusCode"":401,""body"":""{\""error\"":\""Invalid credentials\"",\""auth\"":false,\""user\"":{\""id\"":3,\""email\"":\""user@example.com\"",\""first_name\"":\""Jane\""},\""T4\"":1775461730343}""}"
"2026-04-06T07:48:50.352Z","output","✅ User ID 3 verified."
"2026-04-06T07:48:50.352Z","output","[AI] Sending function details with status..."
"2026-04-06T07:48:50.551Z","output","┌──────────────────────────────────────────────────┐"
"2026-04-06T07:48:50.551Z","output","│  🥇 TOP 1: login1 (50.37%)                    │"
"2026-04-06T07:48:50.552Z","output","│  🥈 TOP 2: signup (43.31%)                    │"
"2026-04-06T07:48:50.552Z","output","│  🔥 SELECTED WARM-UP: login1                │"
"2026-04-06T07:48:50.552Z","output","│  🧠 WARM-UP CANDIDATES: login1 x1 (suppressed: recently used 0s ago)│"
"2026-04-06T07:48:50.552Z","output","│  🔥 WARM-UP STATUS: Triggered Successfully!       │"
"2026-04-06T07:48:50.553Z","output","└──────────────────────────────────────────────────┘"
"2026-04-06T07:48:50.553Z","output","[Warm-up] Invoking signup (not invoked yet)..."
"2026-04-06T07:48:50.577Z","output","Logged metrics for signup → {""statusCode"":500,""body"":""{\""error\"":\""Database error\"",\""details\"":\""Duplicate entry 'user@example.com' for key 'PRIMARY'\"",\""T4\"":1775461730568}""}"
"2026-04-06T07:48:50.578Z","output","[Warm-up] signup completed with status Failed."
