timestamp,type,message
"2026-04-06T07:56:24.792Z","session","--- manual_invoke.js session started ---"
"2026-04-06T07:56:24.793Z","output","==================================================="
"2026-04-06T07:56:24.794Z","output","   OPENFAAS AI PROACTIVE MONITORING SYSTEM       "
"2026-04-06T07:56:24.794Z","output","==================================================="
"2026-04-06T07:56:24.794Z","output","
[Active Session: User ID 1]"
"2026-04-06T07:56:43.341Z","input","Enter function name (or ""exit""): login1"
"2026-04-06T07:56:52.059Z","input","Enter payload JSON (Press Enter for default): {""email"":""yonal@gmail.com"",""password"":""6543210""}"
"2026-04-06T07:56:52.060Z","output","Authenticating via OpenFaaS..."
"2026-04-06T07:56:52.082Z","output","Logged metrics for login1 → {""statusCode"":401,""body"":""{\""error\"":\""Invalid credentials\"",\""auth\"":false,\""user\"":{\""id\"":4,\""email\"":\""yonal@gmail.com\"",\""first_name\"":\""Yonal\""},\""T4\"":1775462212073}""}"
"2026-04-06T07:56:52.083Z","output","✅ User ID 4 verified."
"2026-04-06T07:56:52.083Z","output","[AI] Sending function details with status..."
"2026-04-06T07:56:52.293Z","output","┌──────────────────────────────────────────────────┐"
"2026-04-06T07:56:52.293Z","output","│  🥇 TOP 1: logout (60.38%)                    │"
"2026-04-06T07:56:52.293Z","output","│  🥈 TOP 2: select-question (30.31%)           │"
"2026-04-06T07:56:52.294Z","output","│  🔥 SELECTED WARM-UP: login1                │"
"2026-04-06T07:56:52.294Z","output","│  🧠 WARM-UP CANDIDATES: login1 x5 (suppressed: recently used 0s ago), forgot-password x1 (eligible)│"
"2026-04-06T07:56:52.294Z","output","│  🔥 WARM-UP STATUS: Triggered Successfully!       │"
"2026-04-06T07:56:52.295Z","output","└──────────────────────────────────────────────────┘"
"2026-04-06T07:56:52.296Z","output","[Warm-up] Invoking forgot-password (not invoked yet)..."
"2026-04-06T07:56:52.380Z","output","Logged metrics for forgot-password → {""statusCode"":200,""body"":""{\""message\"":\""Password reset successful\"",\""email\"":\""user@example.com\"",\""T4\"":1775462212309}""}"
"2026-04-06T07:56:52.382Z","output","[Warm-up] forgot-password completed with status Success."
"2026-04-06T07:56:52.384Z","output","[Warm-up Decision] function=forgot-password eligible=YES warmed_up=YES reason=not invoked yet status=Success"
"2026-04-06T07:56:52.385Z","output","
[Active Session: User ID 4]"
"2026-04-06T07:57:54.961Z","input","Enter function name (or ""exit""): forgot-password"
"2026-04-06T07:58:10.610Z","input","Enter payload JSON (Press Enter for default): {""email"":""yonal@gmail.com"",""password"":""newyonal123"",""confirmPassword"":""newyonal123""}"
"2026-04-06T07:58:10.611Z","output","Invoking forgot-password..."
"2026-04-06T07:58:10.631Z","output","Logged metrics for forgot-password → {""statusCode"":200,""body"":""{\""message\"":\""Password reset successful\"",\""email\"":\""yonal@gmail.com\"",\""T4\"":1775462290626}""}"
"2026-04-06T07:58:10.631Z","output","[AI] Sending function details with status..."
"2026-04-06T07:58:10.821Z","output","┌──────────────────────────────────────────────────┐"
"2026-04-06T07:58:10.821Z","output","│  🥇 TOP 1: logout (89.70%)                    │"
"2026-04-06T07:58:10.821Z","output","│  🥈 TOP 2: select-category (5.24%)            │"
"2026-04-06T07:58:10.822Z","output","│  🔥 SELECTED WARM-UP: forgot-password       │"
"2026-04-06T07:58:10.822Z","output","│  🧠 WARM-UP CANDIDATES: forgot-password x1 (suppressed: recently used 0s ago)│"
"2026-04-06T07:58:10.822Z","output","│  🔥 WARM-UP STATUS: Triggered Successfully!       │"
"2026-04-06T07:58:10.822Z","output","└──────────────────────────────────────────────────┘"
"2026-04-06T07:58:10.822Z","output","[Warm-up] Invoking logout (not invoked yet)..."
"2026-04-06T07:58:10.832Z","output","Logged metrics for logout → {""statusCode"":400,""body"":""{\""error\"":\""Already logged out. Login first\"",\""T4\"":1775462290829}""}"
"2026-04-06T07:58:10.832Z","output","[Warm-up] logout completed with status Failed."
"2026-04-06T07:58:10.832Z","output","[Warm-up Decision] function=logout eligible=YES warmed_up=YES reason=not invoked yet status=Failed"
"2026-04-06T07:58:10.833Z","output","
[Active Session: User ID 4]"
"2026-04-06T07:58:41.157Z","input","Enter function name (or ""exit""): login1"
"2026-04-06T07:58:44.469Z","input","Enter payload JSON (Press Enter for default): {""email"":""yonal@gmail.com"",""password"":""6543210""}"
"2026-04-06T07:58:44.469Z","output","Authenticating via OpenFaaS..."
"2026-04-06T07:58:44.487Z","output","Logged metrics for login1 → {""statusCode"":401,""body"":""{\""error\"":\""Invalid credentials\"",\""auth\"":false,\""user\"":{\""id\"":4,\""email\"":\""yonal@gmail.com\"",\""first_name\"":\""Yonal\""},\""T4\"":1775462324484}""}"
"2026-04-06T07:58:44.487Z","output","✅ User ID 4 verified."
"2026-04-06T07:58:44.487Z","output","[AI] Sending function details with status..."
"2026-04-06T07:58:44.677Z","output","┌──────────────────────────────────────────────────┐"
"2026-04-06T07:58:44.677Z","output","│  🥇 TOP 1: select-category (98.80%)           │"
"2026-04-06T07:58:44.677Z","output","│  🥈 TOP 2: login1 (0.58%)                     │"
"2026-04-06T07:58:44.677Z","output","│  🔥 SELECTED WARM-UP: login1                │"
"2026-04-06T07:58:44.677Z","output","│  🧠 WARM-UP CANDIDATES: login1 x5 (suppressed: recently used 0s ago), forgot-password x2 (suppressed: recently used 34s ago)│"
"2026-04-06T07:58:44.677Z","output","│  🔥 WARM-UP STATUS: Triggered Successfully!       │"
"2026-04-06T07:58:44.677Z","output","└──────────────────────────────────────────────────┘"
"2026-04-06T07:58:44.677Z","output","[Warm-up] Skipped forgot-password: recently used 34s ago."
"2026-04-06T07:58:44.678Z","output","[Warm-up Decision] function=forgot-password eligible=NO warmed_up=NO reason=recently used 34s ago"
"2026-04-06T07:58:44.678Z","output","
[Active Session: User ID 4]"
"2026-04-06T07:58:58.531Z","input","Enter function name (or ""exit""): login1"
"2026-04-06T07:59:07.970Z","input","Enter payload JSON (Press Enter for default): {""email"":""yonal@gmail.com"",""password"":""newyonal123""}"
"2026-04-06T07:59:07.970Z","output","Authenticating via OpenFaaS..."
"2026-04-06T07:59:08.058Z","output","Logged metrics for login1 → {""statusCode"":200,""body"":""{\""message\"":\""Login successful\"",\""user\"":{\""id\"":4,\""email\"":\""yonal@gmail.com\"",\""first_name\"":\""Yonal\""},\""T4\"":1775462347987}""}"
"2026-04-06T07:59:08.059Z","output","✅ User ID 4 verified."
"2026-04-06T07:59:08.059Z","output","[AI] Sending function details with status..."
"2026-04-06T07:59:08.288Z","output","┌──────────────────────────────────────────────────┐"
"2026-04-06T07:59:08.288Z","output","│  🥇 TOP 1: select-category (99.88%)           │"
"2026-04-06T07:59:08.288Z","output","│  🥈 TOP 2: login1 (0.12%)                     │"
